Name,Phase1Radius,Phase1X,Phase1Hin,Phase1Hout,Phase2Radius,Phase2X,Phase2Hin,Phase2Hout,Phase3Radius,Phase3X,Phase3Hin,Phase3Hout,NeutralRadius,NeutralX,NeutralHin,NeutralHout,GuyRadius,GuyX,GuyH1,GuyH2,GuyH3,GuyH4
"C1.13,C2.23",0,-44,-5,-5,0,0,9,9,0,44,-5,-5,1,3,-42,-42,1,0,-27,,,
"C1.13L,C2.23L",0,-44,-5,-5,0,0,9,9,0,44,-5,-5,1,3,-42,-42,1,0,-27,,,
"C1.13P,C2.23P",0,-44,-2,-2,0,0,12,12,0,44,-2,-2,1,3,-42,-42,1,0,-27,,,
"C1.41,C2.51",0,-56,-5,-5,0,19,-5,-5,0,56,-5,-5,0,19,-6,-6,1,0,-27,,,
"C1.41L,C2.51L",0,-56,-5,-5,0,19,-5,-5,0,56,-5,-5,0,19,-6,-6,1,0,-27,,,
"C1.41P,C2.51P",0,-56,-2,-2,0,19,-2,-2,0,56,-2,-2,0,19,-6,-6,1,0,-27,,,
C2.24,0,-44,-5,-5,0,0,9,9,0,44,-5,-5,1,2,-42,-42,1,0,-27,,,
C2.25,0,-44,-5,-5,0,0,9,9,0,44,-5,-5,1,15,-42,-42,1,0,-27,,,
C2.24P,0,-44,-2,-2,0,0,12,12,0,44,-2,-2,1,2,-42,-42,1,0,-27,,,
C2.25P,0,-44,-2,-2,0,0,12,12,0,44,-2,-2,1,15,-42,-42,1,0,-27,,,
"C2.52,C2.52L",0,-56,-5,-5,0,19,9,9,0,56,-5,-5,1,3,-63,-63,1,0,-27,,,
C2.52P,0,-56,-2,-2,0,19,12,12,0,56,-2,-2,1,3,-63,-63,1,0,-27,,,
"C3.1,C3.2,C3.3",0,0,-6,-6,0,0,-54,-54,0,0,-102,-102,0,2,-150,-150,1,0,-24,-120,,
"C3.4,C3.5,C3.6,C3.7,C3.8,C3.9",0,0,-6,-6,0,0,-54,-54,0,0,-102,-102,0,3,-150,-150,1,0,-24,-72,-120,
C3.1L,0,18,-18,-18,0,18,-66,-66,0,18,-114,-114,0,18,-162,-162,1,0,-36,-84,-132,
"C4.1G,C4.2G",0,0,-12,-9,0,0,-60,-54,0,0,-108,-102,0,2,-156,-150,1,0,-30,-24,-126,-120
"C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C5.7,C5.8,C5.9",0,0,-6,-6,0,0,-54,-54,0,0,-102,-102,0,2,-150,-150,1,0,-30,-126,,
"C5.21,C5.31,C5.21L,C5.31L,C5.71L,C6.21,C6.31,C6.21L,C6.31L",0,42,-18,-18,0,0,-18,-18,0,42,-18,-18,0,0,-52,-52,1,0,-27,,,
"C5.22,C5.32",0,42,-18,-18,0,0,-4,-4,0,42,-18,-18,0,0,-52,-52,1,0,-27,,,
"C6.52,C6.53,C6.52G,C6.53G",0,54,-18,-18,0,21,-18,-18,0,54,-18,-18,0,21,-18,-18,1,0,-27,,,
