CurveRef,CurveRefAlt1,CurveRefAlt2,CurveFile,CurveCoeff0,CurveCoeff1,CurveCoeff2,CurveCoeff3,CurveCoeff4,CurveCoeff5,CurveCoeff6,CurveEquation,CurveModifier,CurveAdjust
ITE-51S,,,,112,735,0.58,1,5,0,24000,1,1,1
MICRO51-E,,,,110,17640,0.5,2,4.667,1.667,24000,2,1,1
MICRO-I,,,,478,4122,0.55,1,8.722,3.222,24000,2,1,1
MICRO-Y,,,,310,2756,1.35,1,6.533,2.333,24000,2,1,1
MICRO-S,,,,112,735,0.675,1,8.111,3.111,24000,2,1,1
MCO-2S,,,,112,735,0.675,1,0,0,24000,3,1,1
MCO-5L,,,,8197,13769,1.13,1,0,0,24000,3,1,1
MCO-6D,,,,785,671,1.19,1,0,0,24000,3,1,1
MCO-7M,,,,525,3121,0.8,1,0,0,24000,3,1,1
MCO-8I,,,,478,4122,1.27,1,0,0,24000,3,1,1
MCO-9Y,,,,310,2756,1.35,1,0,0,24000,3,1,1
MCO-11E,,,,110,17640,0.5,2,0,0,24000,3,1,1
DPU-E,,,,0.025,6.407,2,1,14,5,9,4,1,1
DPU-I,,,,0.0185,0.0086,0.02,1,14,5,9,4,1,1
DPU-Y,,,,0.0712,2.855,2,1,14,5,9,4,1,1
DPU-S,,,,0.0037,0.00172,0.02,1,14,5,9,4,1,1
VF-1K,VacuFuse-1K,,,2.1,4.521678,0,1,2,,,5,1,1
VF-2K,VacuFuse-2K,,,4.1,4.695866,0,1,2,,,5,1,1
VF-3K,VacuFuse-3K,,,6.3,4.906973,0,1,2,,,5,1,1
VF-5K,VacuFuse-5K,,,10.5,2.510983,0,1,2,,,5,1,1
VF-6K,VacuFuse-6K,,,13,3.37282,0,1,2,,,5,1,1
VF-8K,VacuFuse-8K,,,16,4.34162,0,1,2,,,5,1,1
VF-10K,VacuFuse-10K,,,21,4.26896,0,1,2,,,5,1,1
VF-1T,VacuFuse-1T,,,2,4.856516,0,1,2,,,5,1,1
VF-2T,VacuFuse-2T,,,4.2,4.558339,0,1,2,,,5,1,1
VF-3T,VacuFuse-3T,,,6.4,5.164018,0,1,2,,,5,1,1
VF-5T,VacuFuse-5T,,,10.3,9.428635,0,1,2,,,5,1,1
VF-6T,VacuFuse-6T,,,12.4,10.22708,0,1,2,,,5,1,1
VF-8T,VacuFuse-8T,,,16.2,11.31698,0,1,2,,,5,1,1
VF-10T,VacuFuse-10T,,,20.8,12.64908,0,1,2,,,5,1,1
VF-1KS,VacuFuse-1KS,,,2.1,58.2157,0,1,1.706377,,,5,1,1
VF-2KS,VacuFuse-2KS,,,4.2,54.62449,0,1,2.148582,,,5,1,1
VF-3KS,VacuFuse-3KS,,,6.1,50.77471,0,1,1.995056,,,5,1,1
VF-5KS,VacuFuse-5KS,,,10.6,46.31833,0,1,2.054327,,,5,1,1
VF-7KS,VacuFuse-7KS,,,14.8,36.77679,0,1,2.001019,,,5,1,1
VF-10KS,VacuFuse-10KS,,,20.2,55.9864,0,1,2.0157,,,5,1,1
