StudyPoleTag,PoleTag,PoleNumber,Assembly,AssemblyHeight,ConductorType,ConductorName,Height,DesignTension,Tension,Mcn,Mc,Mcmax,Mcmaxws,Mcmaxx,Mcmaxy,Mcws,Mcwsx,Mcwsy,Mtx,Mty,Span,NormAngle
35-4,A,2,C1.11,0,AAAC,Canton,28.583333333333332,0.5,6650.0,16.397305555555555,2.510113470406528e-15,40.99326388888889,6148.989583333334,-1.1295510616829376e-12,-6148.989583333334,3.7651702056097916e-13,3.7651702056097916e-13,0.0,-313630.62499999994,3.8408674102083384e-11,300.0,3.141592653589793
35-4,A,3,C1.11,0,AAAC,Canton,25.5,0.5,6650.0,14.628499999999999,2.239343212665882e-15,36.57125,5485.6875,-1.007704445699647e-12,-5485.6875,3.359014818998823e-13,3.359014818998823e-13,0.0,-279798.75,3.426546435929305e-11,300.0,3.141592653589793
35-4,B,0,C1.11,0,AAAC,Canton,28.583333333333332,0.5,6650.0,16.397305555555555,2.510113470406528e-15,40.99326388888889,6148.989583333334,3.765170205609792e-13,6148.989583333334,3.7651702056097916e-13,3.7651702056097916e-13,0.0,313630.62499999994,0.0,300.0,0.0
35-4,B,1,C1.11,0,AAAC,Canton,29.75,0.5,6650.0,17.066583333333334,2.6125670814435294e-15,42.66645833333334,6399.968750000001,3.918850622165294e-13,6399.968750000001,3.918850622165294e-13,3.918850622165294e-13,0.0,326431.875,0.0,300.0,0.0
35-4,B,2,C1.11,0,AAAC,Canton,28.583333333333332,0.5,6650.0,16.397305555555555,2.510113470406528e-15,40.99326388888889,6148.989583333334,3.765170205609792e-13,6148.989583333334,3.7651702056097916e-13,3.7651702056097916e-13,0.0,313630.62499999994,0.0,300.0,0.0
35-4,B,3,C1.11,0,AAAC,Canton,25.5,0.5,6650.0,14.628499999999999,2.239343212665882e-15,36.57125,5485.6875,3.359014818998823e-13,5485.6875,3.359014818998823e-13,3.359014818998823e-13,0.0,279798.75,0.0,300.0,0.0
40-3,A,0,C1.11,0,AAAC,Canton,33.583333333333336,0.5,6650.0,19.26563888888889,2.9492003748508187e-15,48.164097222222225,7224.614583333334,-1.3271401686828684e-12,-7224.614583333334,4.423800562276228e-13,4.423800562276228e-13,0.0,-368493.125,4.512739260390555e-11,300.0,3.141592653589793
40-3,A,1,C1.11,0,AAAC,Canton,34.75,0.5,6650.0,19.934916666666666,3.0516539858878194e-15,49.837291666666665,7475.59375,-1.3732442936495187e-12,-7475.59375,4.577480978831729e-13,4.577480978831729e-13,0.0,-381294.375,4.669509358766406e-11,300.0,3.141592653589793
40-3,A,2,C1.11,0,AAAC,Canton,33.583333333333336,0.5,6650.0,19.26563888888889,2.9492003748508187e-15,48.164097222222225,7224.614583333334,-1.3271401686828684e-12,-7224.614583333334,4.423800562276228e-13,4.423800562276228e-13,0.0,-368493.125,4.512739260390555e-11,300.0,3.141592653589793
40-3,A,3,C1.11,0,AAAC,Canton,30.5,0.5,6650.0,17.496833333333335,2.678430117110173e-15,43.74208333333334,6561.312500000001,-1.2052935526995777e-12,-6561.312500000001,4.0176451756652596e-13,4.0176451756652596e-13,0.0,-334661.25,4.098418286111521e-11,300.0,3.141592653589793
40-3,B,0,C1.11,0,AAAC,Canton,33.583333333333336,0.5,6650.0,19.26563888888889,2.9492003748508187e-15,48.164097222222225,7224.614583333334,4.423800562276228e-13,7224.614583333334,4.423800562276228e-13,4.423800562276228e-13,0.0,368493.125,0.0,300.0,0.0
